Word,genre,nombre,nblettres,nbsyll
acceptions,f,p,10,3
acceptée,f,s,8,3
acceptées,f,p,9,3
accessibilité,f,s,13,6
accession,f,s,9,3
accidentelle,f,s,12,4
accidentelles,f,p,13,4
accidentée,f,s,10,4
accidentée,f,s,10,4
accidentée,f,s,10,4
accidentées,f,p,11,4
acclamation,f,s,11,4
acclamations,f,p,12,4
acclamée,f,s,8,3
acclamées,f,p,9,3
acclimatation,f,s,13,5
accointance,f,s,11,3
accointances,f,p,12,3
accolade,f,s,8,3
accolades,f,p,9,3
accolée,f,s,7,3
accolée,f,s,7,3
accolées,f,p,8,3
accolées,f,p,8,3
accommodante,f,s,12,4
accommodantes,f,p,13,4
accommodation,f,s,13,5
accommodatrices,f,p,15,5
accommodée,f,s,10,4
accompagnatrice,f,s,15,5
accompagnatrices,f,p,16,5
accompagnée,f,s,11,4
accompagnée,f,s,11,4
accompagnées,f,p,12,4
accompagnées,f,p,12,4
accomplie,f,s,9,3
accomplie,f,s,9,3
accomplies,f,p,10,3
accomplies,f,p,10,3
accordailles,f,p,12,3
accordée,f,s,8,3
accordée,f,s,8,3
accordées,f,p,9,3
accordées,f,p,9,3
accore,f,s,6,2
accorte,f,s,7,2
accortes,f,p,8,2
accostée,f,s,8,3
accostées,f,p,9,3
accotée,f,s,7,3
accotées,f,p,8,3
accoucheuse,f,s,11,3
accouchée,f,s,9,3
accouchée,f,s,9,3
accouchées,f,p,10,3
accoudée,f,s,8,3
accoudée,f,s,8,3
accoudées,f,p,9,3
accouplée,f,s,9,3
accouplées,f,p,10,3
accourue,f,s,8,3
accourues,f,p,9,3
accoutrée,f,s,9,3
accoutrée,f,s,9,3
accoutumance,f,s,12,4
accoutumances,f,p,13,4
accoutumée,f,s,10,4
accoutumée,f,s,10,4
accoutumées,f,p,11,4
accoutumées,f,p,11,4
accouvée,f,s,8,3
accroche,f,s,8,2
accroches,f,p,9,2
accrocheuse,f,s,11,3
accrocheuses,f,p,12,3
accrochée,f,s,9,3
accrochée,f,s,9,3
accrochées,f,p,10,3
accrochées,f,p,10,3
accroupie,f,s,9,3
accroupie,f,s,9,3
accroupies,f,p,10,3
accroupies,f,p,10,3
accrue,f,s,6,2
accrue,f,s,6,2
accrue,f,s,6,2
accrues,f,p,7,2
accrues,f,p,7,2
accréditation,f,s,13,5
accréditations,f,p,14,5
accréditée,f,s,10,4
accréditée,f,s,10,4
accrétion,f,s,9,3
accueillante,f,s,12,3
accueillantes,f,p,13,3
accueillie,f,s,10,3
accueillies,f,p,11,3
acculturation,f,s,13,5
acculée,f,s,7,3
acculées,f,p,8,3
accumulation,f,s,12,5
accumulations,f,p,13,5
accumulée,f,s,9,4
accumulées,f,p,10,4
accusation,f,s,10,4
accusations,f,p,11,4
accusatrice,f,s,11,4
accusatrices,f,p,12,4
accusée,f,s,7,3
accusée,f,s,7,3
accusée,f,s,7,3
accusées,f,p,8,3
accusées,f,p,8,3
accusées,f,p,8,3
accélération,f,s,12,5
accélérations,f,p,13,5
accélératrice,f,s,13,5
accélérée,f,s,9,4
accélérées,f,p,10,4
acerbes,f,p,7,2
achalandée,f,s,10,4
achalandées,f,p,11,4
acharnée,f,s,8,3
acharnée,f,s,8,3
acharnées,f,p,9,3
acharnées,f,p,9,3
ache,f,s,4,1
acheminée,f,s,9,4
acheminées,f,p,10,4
aches,f,p,5,1
acheteuse,f,s,9,3
acheteuses,f,p,10,3
achetée,f,s,7,3
achetées,f,p,8,3
achevée,f,s,7,3
achevée,f,s,7,3
achevées,f,p,8,3
achevées,f,p,8,3
achillée,f,s,8,3
achondroplasie,f,s,14,5
achondroplasies,f,p,15,5
achoppée,f,s,8,3
acidité,f,s,7,4
acidités,f,p,8,4
acidocétose,f,s,11,5
acidose,f,s,7,3
acidulée,f,s,8,4
acidulée,f,s,8,4
acidulées,f,p,9,4
acidulées,f,p,9,4
aciérie,f,s,7,3
aciéries,f,p,8,3
acmé,f,s,4,2
acné,f,s,4,2
acnés,f,p,5,2
acoquinée,f,s,9,4
acoustique,f,s,10,3
acoustiques,f,p,11,3
acqua-toffana,f,s,13,5
acquise,f,s,7,2
acquise,f,s,7,2
acquises,f,p,8,2
acquises,f,p,8,2
acquisition,f,s,11,4
acquisitions,f,p,12,4
acquittée,f,s,9,3
acquittée,f,s,9,3
acre,f,s,4,1
acres,f,p,5,1
acrimonie,f,s,9,4
acrimonieuse,f,s,12,4
acrimonieuses,f,p,13,4
acrobatie,f,s,9,4
acrobaties,f,p,10,4
acrophobie,f,s,10,4
acropole,f,s,8,3
actine,f,s,6,2
actinies,f,p,8,3
action,f,s,6,2
action painting,f,s,15,4
actionnée,f,s,9,3
actionnées,f,p,10,3
actions,f,p,7,2
activation,f,s,10,4
activations,f,p,11,4
active,f,s,6,2
actives,f,p,7,2
activité,f,s,8,4
activités,f,p,9,4
activée,f,s,7,3
activée,f,s,7,3
activées,f,p,8,3
activées,f,p,8,3
actrice,f,s,7,2
actrices,f,p,8,2
actualisation,f,s,13,5
actualisée,f,s,10,4
actualisées,f,p,11,4
actualité,f,s,9,4
actualités,f,p,10,4
actuation,f,s,9,3
actuelle,f,s,8,2
actuelles,f,p,9,2
acuité,f,s,6,3
acuponcture,f,s,11,4
acupuncture,f,s,11,4
acérée,f,s,6,3
acérées,f,p,7,3
acérées,f,p,7,3
acétone,f,s,7,3
acétylcholine,f,s,13,5
adamantine,f,s,10,4
adaptabilité,f,s,12,6
adaptation,f,s,10,4
adaptations,f,p,11,4
adaptée,f,s,7,3
adaptées,f,p,8,3
addiction,f,s,9,3
addition,f,s,8,3
additionnelle,f,s,13,4
additionnelles,f,p,14,4
additionnée,f,s,11,4
additionnées,f,p,12,4
additions,f,p,9,3
adduction,f,s,9,3
adhérence,f,s,9,3
adhérences,f,p,10,3
adhérente,f,s,9,3
adhérentes,f,p,10,3
adhésion,f,s,8,3
adhésions,f,p,9,3
adhésive,f,s,8,3
adhésives,f,p,9,3
adipeuse,f,s,8,3
adipeuses,f,p,9,3
adiposité,f,s,9,5
adjacente,f,s,9,3
adjacentes,f,p,10,3
adjective,f,s,9,3
adjointe,f,s,8,2
adjointe,f,s,8,2
adjointe,f,s,8,2
adjointes,f,p,9,2
adjonction,f,s,10,3
adjudication,f,s,12,5
adjudications,f,p,13,5
adjugée,f,s,7,3
adjuration,f,s,10,4
adjurations,f,p,11,4
adjutrice,f,s,9,3
administration,f,s,14,5
administrations,f,p,15,5
administrative,f,s,14,5
administrative,f,s,14,5
administratives,f,p,15,5
administratrice,f,s,15,5
administrée,f,s,11,4
administrée,f,s,11,4
administrée,f,s,11,4
administrées,f,p,12,4
administrées,f,p,12,4
administrées,f,p,12,4
admiration,f,s,10,4
admirations,f,p,11,4
admirative,f,s,10,4
admiratives,f,p,11,4
admiratrice,f,s,11,4
admiratrice,f,s,11,4
admiratrices,f,p,12,4
admirée,f,s,7,3
admirées,f,p,8,3
admise,f,s,6,2
admise,f,s,6,2
admises,f,p,7,2
admises,f,p,7,2
admissibilité,f,s,13,6
admissibles,f,p,11,3
admission,f,s,9,3
admissions,f,p,10,3
admixtion,f,s,9,3
admonestation,f,s,13,5
admonestations,f,p,14,5
admonition,f,s,10,4
admonitions,f,p,11,4
adolescence,f,s,11,4
adolescences,f,p,12,4
adolescente,f,s,11,4
adolescente,f,s,11,4
adolescentes,f,p,12,4
adolescentes,f,p,12,4
adonies,f,p,7,3
adonnée,f,s,7,3
adonnées,f,p,8,3
adoptable,f,s,9,3
adoption,f,s,8,3
adoptions,f,p,9,3
adoptive,f,s,8,3
adoptives,f,p,9,3
adoptée,f,s,7,3
adoptée,f,s,7,3
adoptée,f,s,7,3
adoptées,f,p,8,3
adoptées,f,p,8,3
adoptées,f,p,8,3
adorante,f,s,8,3
adoration,f,s,9,4
adorations,f,p,10,4
adoratrice,f,s,10,4
adoratrices,f,p,11,4
adorée,f,s,6,3
adorées,f,p,7,3
adossée,f,s,7,3
adossée,f,s,7,3
adossées,f,p,8,3
adoucie,f,s,7,3
adoucies,f,p,8,3
adoucissantes,f,p,13,4
adragante,f,s,9,3
adresse,f,s,7,2
adresses,f,p,8,2
adressée,f,s,8,3
adressées,f,p,9,3
adroite,f,s,7,2
adroites,f,p,8,2
adrénaline,f,s,10,4
adrénalines,f,p,11,4
adulation,f,s,9,4
adulations,f,p,10,4
adultération,f,s,12,5
adultérine,f,s,10,4
adultérées,f,p,10,4
adulée,f,s,6,3
adventiste,f,s,10,3
advenue,f,s,7,3
advenue,f,s,7,3
advenues,f,p,8,3
adversité,f,s,9,4
adversités,f,p,10,4
adénine,f,s,7,3
adénopathie,f,s,11,5
adénosine,f,s,9,4
adéquate,f,s,8,3
adéquates,f,p,9,3
adéquation,f,s,10,4
affabilité,f,s,10,5
affabilités,f,p,11,5
affabulation,f,s,12,5
affabulations,f,p,13,5
affabulatrice,f,s,13,5
affadie,f,s,7,3
affadies,f,p,8,3
affaiblie,f,s,9,3
affaiblie,f,s,9,3
affaiblies,f,p,10,3
affaiblies,f,p,10,3
affaire,f,s,7,2
affaires,f,p,8,2
affairée,f,s,8,3
affairée,f,s,8,3
affairée,f,s,8,3
affairées,f,p,9,3
affairées,f,p,9,3
affairées,f,p,9,3
affaissée,f,s,9,3
affaissées,f,p,10,3
affalée,f,s,7,3
affalées,f,p,8,3
affamantes,f,p,10,3
affamée,f,s,7,3
affamée,f,s,7,3
affamée,f,s,7,3
affamées,f,p,8,3
affamées,f,p,8,3
affamées,f,p,8,3
affectation,f,s,11,4
affectations,f,p,12,4
affection,f,s,9,3
affectionnée,f,s,12,4
affectionnée,f,s,12,4
affections,f,p,10,3
affective,f,s,9,3
affectives,f,p,10,3
affectivité,f,s,11,5
affectueuse,f,s,11,3
affectueuses,f,p,12,3
affectée,f,s,8,3
affectée,f,s,8,3
affectées,f,p,9,3
affectées,f,p,9,3
affermie,f,s,8,3
affiche,f,s,7,2
affiches,f,p,8,2
affichette,f,s,10,3
affichettes,f,p,11,3
affichée,f,s,8,3
affichées,f,p,9,3
affidée,f,s,7,3
affiliation,f,s,11,4
affiliations,f,p,12,4
affiliée,f,s,8,3
affiliée,f,s,8,3
affiliée,f,s,8,3
affiliées,f,p,9,3
affiliées,f,p,9,3
affilée,f,s,7,3
affilée,f,s,7,3
affilées,f,p,8,3
affinité,f,s,8,4
affinités,f,p,9,4
affinée,f,s,7,3
affinée,f,s,7,3
affinées,f,p,8,3
affirmation,f,s,11,4
affirmations,f,p,12,4
affirmative,f,s,11,4
affirmative,f,s,11,4
affirmée,f,s,8,3
affirmées,f,p,9,3
affliction,f,s,10,3
afflictions,f,p,11,3
affligeante,f,s,11,3
affligeantes,f,p,12,3
affligée,f,s,8,3
affligée,f,s,8,3
affluence,f,s,9,3
affluentes,f,p,10,3
affolante,f,s,9,3
affolantes,f,p,10,3
affolée,f,s,7,3
affolée,f,s,7,3
affolées,f,p,8,3
affolées,f,p,8,3
affranchie,f,s,10,3
affranchie,f,s,10,3
affranchie,f,s,10,3
affranchies,f,p,11,3
affranchies,f,p,11,3
affranchies,f,p,11,3
affres,f,p,6,1
affreuse,f,s,8,2
affreuses,f,p,9,2
affriolante,f,s,11,4
affriolantes,f,p,12,4
affrontée,f,s,9,3
affrontées,f,p,10,3
affrontées,f,p,10,3
affublée,f,s,8,3
affublée,f,s,8,3
affublées,f,p,9,3
affurée,f,s,7,3
affusions,f,p,9,3
afférente,f,s,9,3
afférentes,f,p,10,3
afféterie,f,s,9,4
afféteries,f,p,10,4
affétées,f,p,8,3
affûtée,f,s,7,3
affûtées,f,p,8,3
afghane,f,s,7,2
afghane,f,s,7,2
afghanes,f,p,8,2
afghanes,f,p,8,2
africaine,f,s,9,3
africaine,f,s,9,3
africaines,f,p,10,3
africaines,f,p,10,3
afrikaans,f,s,9,3
afro-américaine,f,s,15,6
afro-américaine,f,s,15,6
afro-asiatique,f,s,14,5
afro-brésilienne,f,s,16,5
afro-cubaine,f,s,12,4
afro-cubaine,f,s,12,4
agace,f,s,5,2
agacerie,f,s,8,4
agaceries,f,p,9,4
agacée,f,s,6,3
agacées,f,p,7,3
agapanthe,f,s,9,3
agapanthes,f,p,10,3
agape,f,s,5,2
agapes,f,p,6,2
agasses,f,p,7,2
agate,f,s,5,2
agates,f,p,6,2
agathe,f,s,6,2
agaçante,f,s,8,3
agaçantes,f,p,9,3
agence,f,s,6,2
agences,f,p,7,2
agencée,f,s,7,3
agencées,f,p,8,3
agenouillée,f,s,11,4
agenouillée,f,s,11,4
agenouillées,f,p,12,4
agenouillées,f,p,12,4
agente,f,s,6,2
agglomération,f,s,13,5
agglomérations,f,p,14,5
agglomérée,f,s,10,4
agglomérées,f,p,11,4
agglutination,f,s,13,5
agglutinée,f,s,10,4
agglutinées,f,p,11,4
aggravante,f,s,10,3
aggravantes,f,p,11,3
aggravation,f,s,11,4
aggrave,f,s,7,2
aggravée,f,s,8,3
aggravée,f,s,8,3
aggravées,f,p,9,3
agie,f,s,4,2
agilité,f,s,7,4
agilités,f,p,8,4
agissante,f,s,9,3
agissantes,f,p,10,3
agit-prop,f,,9,3
agitation,f,s,9,4
agitations,f,p,10,4
agitatrice,f,s,10,4
agitée,f,s,6,3
agitée,f,s,6,3
agitée,f,s,6,3
agitées,f,p,7,3
agitées,f,p,7,3
agitées,f,p,7,3
agneline,f,s,8,3
agnelle,f,s,7,2
agnelles,f,p,8,2
agnosie,f,s,7,3
agnostique,f,s,10,3
agonie,f,s,6,3
agonie,f,s,6,3
agonies,f,p,7,3
agonique,f,s,8,3
agonisante,f,s,10,4
agonisante,f,s,10,4
agonisantes,f,p,11,4
agonisantes,f,p,11,4
agora,f,s,5,3
agoraphobie,f,s,11,5
agrafe,f,s,6,2
agrafes,f,p,7,2
agrafeuse,f,s,9,3
agrafeuses,f,p,10,3
agrafée,f,s,7,3
agrafées,f,p,8,3
agrandie,f,s,8,3
agrandies,f,p,9,3
agranulocytose,f,s,14,6
agression,f,s,9,3
agressions,f,p,10,3
agressive,f,s,9,3
agressives,f,p,10,3
agressivité,f,s,11,5
agressivités,f,p,12,5
agressée,f,s,8,3
agressées,f,p,9,3
agrestes,f,p,8,2
agricultrice,f,s,12,4
agricultrices,f,p,13,4
agriculture,f,s,11,4
agrippée,f,s,8,3
agrippées,f,p,9,3
agro-alimentaire,f,s,16,6
agronomie,f,s,9,4
agrovilles,f,p,10,3
agrég,f,s,5,2
agrégation,f,s,10,4
agrégative,f,s,10,4
agrégée,f,s,7,3
agrégée,f,s,7,3
agrégées,f,p,8,3
agrégées,f,p,8,3
agrémentée,f,s,10,4
agrémentée,f,s,10,4
agrémentées,f,p,11,4
agréée,f,s,6,3
agréée,f,s,6,3
agréées,f,p,7,3
aguardiente,f,s,11,4
aguerrie,f,s,8,3
aguerrie,f,s,8,3
aguerries,f,p,9,3
aguerries,f,p,9,3
aguichante,f,s,10,3
aguichantes,f,p,11,3
aguiche,f,s,7,2
aguicheuse,f,s,10,3
aguicheuse,f,s,10,3
aguicheuses,f,p,11,3
ahanante,f,s,8,3
ahurie,f,s,6,3
ahurie,f,s,6,3
ahuries,f,p,7,3
ahuries,f,p,7,3
ahurissante,f,s,11,4
ahurissantes,f,p,12,4
aide-ménagère,f,s,13,4
aide-soignante,f,s,14,3
aides-soignantes,f,p,16,3
aidée,f,s,5,2
aidées,f,p,6,2
aigre-douce,f,s,11,3
aigrelette,f,s,10,3
aigrelettes,f,p,11,3
aigres-douces,f,p,13,3
aigrette,f,s,8,2
aigrette,f,s,8,2
aigrettes,f,p,9,2
aigrettes,f,p,9,2
aigreur,f,s,7,2
aigreurs,f,p,8,2
aigrie,f,s,6,2
aigrie,f,s,6,2
aigrie,f,s,6,2
aigries,f,p,7,2
aiguade,f,s,7,2
aigue-marine,f,s,12,3
aigues-marines,f,p,14,3
aiguille,f,s,8,2
aiguilles,f,p,9,2
aiguillettes,f,p,12,3
aiguillonnante,f,s,14,4
aiguillonnée,f,s,12,4
aiguillonnées,f,p,13,4
aiguillée,f,s,9,3
aiguillée,f,s,9,3
aiguillées,f,p,10,3
aiguillées,f,p,10,3
aiguisée,f,s,8,3
aiguisée,f,s,8,3
aiguisées,f,p,9,3
aiguisées,f,p,9,3
aiguière,f,s,8,2
aiguë,f,s,5,2
aiguës,f,p,6,2
aile,f,s,4,1
ailes,f,p,5,1
ailette,f,s,7,2
ailettes,f,p,8,2
aillée,f,s,6,2
ailée,f,s,5,2
ailée,f,s,5,2
ailées,f,p,6,2
ailées,f,p,6,2
aimantation,f,s,11,4
aimante,f,s,7,2
aimantes,f,p,8,2
aimantée,f,s,8,3
aimantées,f,p,9,3
aimeuse,f,s,7,2
aimée,f,s,5,2
aimée,f,s,5,2
aimées,f,p,6,2
aimées,f,p,6,2
aine,f,s,4,1
aine,f,s,4,1
aines,f,p,5,1
aire,f,s,4,1
airelle,f,s,7,2
airelles,f,p,8,2
aires,f,p,5,1
aisance,f,s,7,2
aisances,f,p,8,2
aise,f,s,4,1
aises,f,p,5,1
aisselle,f,s,8,2
aisselles,f,p,9,2
aisée,f,s,5,2
aisées,f,p,6,2
ajaccienne,f,s,10,3
ajistes,f,p,7,2
ajointée,f,s,8,3
ajournée,f,s,8,3
ajournée,f,s,8,3
ajourée,f,s,7,3
ajourée,f,s,7,3
ajourées,f,p,8,3
ajourées,f,p,8,3
ajoute,f,s,6,2
ajoutes,f,p,7,2
ajoutée,f,s,7,3
ajoutée,f,s,7,3
ajoutées,f,p,8,3
ajoutées,f,p,8,3
ajusture,f,s,8,3
ajustée,f,s,7,3
ajustée,f,s,7,3
ajustées,f,p,8,3
ajustées,f,p,8,3
akkadienne,f,s,10,3
alabandines,f,p,11,4
alacrité,f,s,8,4
alaise,f,s,6,2
alambiquée,f,s,10,4
alambiquée,f,s,10,4
alambiquées,f,p,11,4
alanguie,f,s,8,3
alanguie,f,s,8,3
alanguies,f,p,9,3
alanguies,f,p,9,3
alanguissante,f,s,13,4
alarmante,f,s,9,3
alarmantes,f,p,10,3
alarme,f,s,6,2
alarmes,f,p,7,2
alarmiste,f,s,9,3
alarmée,f,s,7,3
alarmées,f,p,8,3
alba,f,s,4,2
albanaise,f,s,9,3
albanaise,f,s,9,3
albanaises,f,p,10,3
albertine,f,s,9,3
albumine,f,s,8,3
albumines,f,p,9,3
albumineuse,f,s,11,4
alcaline,f,s,8,3
alcalines,f,p,9,3
alcalinité,f,s,10,5
alcalose,f,s,8,3
alchimie,f,s,8,3
alchimies,f,p,9,3
alchimiques,f,p,11,3
alcoolisée,f,s,10,4
alcoolisée,f,s,10,4
alcoolisées,f,p,11,4
alcoolisées,f,p,11,4
alcoolémie,f,s,10,4
alcées,f,p,6,2
alcôve,f,s,6,2
alcôves,f,p,7,2
ale,f,s,3,1
alentie,f,s,7,3
alenties,f,p,8,3
alençonnaise,f,s,12,4
alerte,f,s,6,2
alertes,f,p,7,2
alertée,f,s,7,3
alertée,f,s,7,3
alertées,f,p,8,3
alertées,f,p,8,3
alexandrine,f,s,11,4
alexandrines,f,p,12,4
alexie,f,s,6,3
alezane,f,s,7,3
alezanes,f,p,8,3
algarade,f,s,8,3
algarades,f,p,9,3
algie,f,s,5,2
algonquines,f,p,11,3
algue,f,s,5,1
algues,f,p,6,1
algèbre,f,s,7,2
algérienne,f,s,10,3
algérienne,f,s,10,3
algériennes,f,p,11,3
algériennes,f,p,11,3
algéroise,f,s,9,3
alhambra,f,s,8,3
alidade,f,s,7,3
alignée,f,s,7,3
alignée,f,s,7,3
alignées,f,p,8,3
alignées,f,p,8,3
alim,f,s,4,2
alimentation,f,s,12,5
alimentations,f,p,13,5
alimentée,f,s,9,4
alimentées,f,p,10,4
alise,f,s,5,2
alises,f,p,6,2
alitée,f,s,6,3
alitées,f,p,7,3
aliénante,f,s,9,3
aliénation,f,s,10,4
aliénée,f,s,7,3
aliénée,f,s,7,3
aliénée,f,s,7,3
aliénées,f,p,8,3
allaitante,f,s,10,3
allaitantes,f,p,11,3
allaitée,f,s,8,3
allante,f,s,7,2
allemagne,f,s,9,3
allemande,f,s,9,3
allemande,f,s,9,3
allemandes,f,p,10,3
allemandes,f,p,10,3
allergie,f,s,8,3
allergies,f,p,9,3
allergologie,f,s,12,5
allergènes,f,p,10,3
allez,f,s,5,2
alliance,f,s,8,2
alliances,f,p,9,2
allitération,f,s,12,5
allitérations,f,p,13,5
alliée,f,s,6,2
alliée,f,s,6,2
alliée,f,s,6,2
alliées,f,p,7,2
alliées,f,p,7,2
alliées,f,p,7,2
alloc,f,s,5,2
allocation,f,s,10,4
allocations,f,p,11,4
allocations,f,s,11,4
allocs,f,p,6,2
allocution,f,s,10,4
allocutions,f,p,11,4
allogreffe,f,s,10,3
allogènes,f,p,9,3
allonge,f,s,7,2
allonges,f,p,8,2
allongée,f,s,8,3
allongée,f,s,8,3
allongées,f,p,9,3
allongées,f,p,9,3
allopathie,f,s,10,4
allouée,f,s,7,2
allumette,f,s,9,3
allumettes,f,p,10,3
allumeuse,f,s,9,3
allumeuses,f,p,10,3
allumée,f,s,7,3
allumée,f,s,7,3
allumée,f,s,7,3
allumées,f,p,8,3
allumées,f,p,8,3
allumées,f,p,8,3
allure,f,s,6,2
allures,f,p,7,2
allusion,f,s,8,3
allusions,f,p,9,3
allusive,f,s,8,3
allusives,f,p,9,3
alluvion,f,s,8,3
alluvions,f,p,9,3
alléchante,f,s,10,3
alléchantes,f,p,11,3
alléchée,f,s,8,3
allée,f,s,5,2
allée,f,s,5,2
allées,f,p,6,2
allées,f,p,6,2
allégation,f,s,10,4
allégations,f,p,11,4
allégeance,f,s,10,3
allégeances,f,p,11,3
allégorie,f,s,9,4
allégories,f,p,10,4
allégresse,f,s,10,3
allégresses,f,p,11,3
alléguée,f,s,8,3
allégée,f,s,7,3
allégées,f,p,8,3
alma,f,s,4,2
almée,f,s,5,2
almées,f,p,6,2
alopécie,f,s,8,4
alose,f,s,5,2
aloses,f,p,6,2
alouette,f,s,8,2
alouettes,f,p,9,2
alourdie,f,s,8,3
alourdies,f,p,9,3
alpaguée,f,s,8,3
alpe,f,s,4,1
alpes,f,p,5,1
alphabétisation,f,s,15,6
alpine,f,s,6,2
alpines,f,p,7,2
alsacienne,f,s,10,3
alsacienne,f,s,10,3
alsaciennes,f,p,11,3
alsaciennes,f,p,11,3
alstonia,f,s,8,3
altercation,f,s,11,4
altercations,f,p,12,4
alternance,f,s,10,3
alternances,f,p,11,3
alternative,f,s,11,4
alternative,f,s,11,4
alternatives,f,p,12,4
alternatives,f,p,12,4
alternée,f,s,8,3
alternée,f,s,8,3
alternées,f,p,9,3
alternées,f,p,9,3
altesse,f,s,7,2
altesses,f,p,8,2
althaea,f,s,7,3
altitude,f,s,8,3
altitudes,f,p,9,3
altière,f,s,7,2
altières,f,p,8,2
altération,f,s,10,4
altérations,f,p,11,4
altérité,f,s,8,4
altérée,f,s,7,3
altérée,f,s,7,3
